scenario,time,survival,default,density,hazard
explicit,0,1,0,0.02,0.02
explicit,0.27123287671232876,0.99459002935132623,0.0054099706486737675,0.019891800587026526,0.02
explicit,0.27397260273972601,0.99453553276059714,0.0054644672394028593,0.019890710655211943,0.02
explicit,0.27671232876712326,0.89503293524031069,0.10496706475968931,0.019889620783118015,0.02
explicit,0.54794520547945202,0.8901908333310643,0.1098091666689357,0.019782018518468093,0.02
explicit,0.55068493150684927,0.71211364567000279,0.28788635432999721,0.019780934601944519,0.02
explicit,2,0.69176839618967279,0.30823160381032721,0.019215788783046465,0.02
quote_changed,1,0.66653509784859366,0.33346490215140634,0.019603973466135106,0.02
moving_initial,1,0.88217880597607978,0.11782119402392022,0.019603973466135106,0.02
moving_shifted,0,0.90000000000000002,0.099999999999999978,0.02,0.02
moving_shifted,0.9945205479452055,0.88227548840307224,0.11772451159692776,0.019606121964512717,0.02
moving_shifted,1,0.70574304478086392,0.29425695521913608,0.019603973466135106,0.02
