today,start,end,averaging,today_fixing,price
45460,45462,45473,0,0,96.547614160554645
45460,45462,45473,0,1,96.547614160554645
45464,45462,45473,0,0,96.766214719092432
45464,45462,45473,0,1,96.889637820156452
45465,45462,45473,0,0,96.889637820156452
45465,45462,45473,0,1,96.889637820156452
45460,45462,45473,1,0,96.546123960948378
45460,45462,45473,1,1,96.546123960948378
45464,45462,45473,1,0,96.764915679779435
45464,45462,45473,1,1,96.888425249069229
45465,45462,45473,1,0,96.888425249069229
45465,45462,45473,1,1,96.888425249069229
